"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"-0.5078","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV254_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV254_ANPR","",""
"-0.3725","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV250_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV250_Mesorhizobium","",""
"-0.4824","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV247_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV247_Mesorhizobium","",""
"-0.3771","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV244_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV244_ANPR","",""
"-0.2943","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV231_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV231_Mesorhizobium","",""
"-0.4958","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV22_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV22_Mesorhizobium","",""
"-0.3564","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV217_Mesorhizobium","","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV217_Mesorhizobium","",""
"0.7777","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV21_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV21_ANPR","",""
"0.4472","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV202_unknown","","0.006","false","interacts with","ASV82_ANPR (interacts with) ASV202_unknown","",""
"-0.4738","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV197_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV197_Mesorhizobium","",""
"-0.3629","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV188_Mesorhizobium","","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV188_Mesorhizobium","",""
"-0.5036","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV185_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV185_unknown","",""
"0.7847","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV18_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV18_ANPR","",""
"0.7813","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV178_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV178_unknown","",""
"0.7324","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV176_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV176_unknown","",""
"-0.4781","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV170_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV170_Mesorhizobium","",""
"-0.4918","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV17_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV17_ANPR","",""
"-0.3871","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV166_Mesorhizobium","","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV166_Mesorhizobium","",""
"0.6095","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV162_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV162_ANPR","",""
"-0.4631","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV160_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV160_Mesorhizobium","",""
"-0.5125","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV158_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV158_Mesorhizobium","",""
"0.4693","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV154_ANPR","","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV154_ANPR","",""
"0.5096","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV15_Mesorhizobium","","0.003","false","interacts with","ASV82_ANPR (interacts with) ASV15_Mesorhizobium","",""
"-0.3492","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV1464_unknown","","0.006","false","interacts with","ASV82_ANPR (interacts with) ASV1464_unknown","",""
