Node1	Node2	Pvalue	Cor	CorrB	CorRange	CorrStrong
ASV106_Mesorhizobium	ASV1_Mesorhizobium	0.001	-0.5492	Negative	Strong	Negative_Strong
ASV11_unknown	ASV1_Mesorhizobium	0.001	-0.4867	Negative	Strong	Negative_Strong
ASV111_Mesorhizobium	ASV1_Mesorhizobium	0.01	0.4515	Positive	Strong	Positive_Strong
ASV12_Mesorhizobium	ASV1_Mesorhizobium	0.01	-0.4497	Negative	Strong	Negative_Strong
ASV126_unknown	ASV1_Mesorhizobium	0.001	-0.558	Negative	Strong	Negative_Strong
ASV133_ANPR	ASV1_Mesorhizobium	0.005	-0.4886	Negative	Strong	Negative_Strong
ASV137_ANPR	ASV1_Mesorhizobium	0.003	-0.5301	Negative	Strong	Negative_Strong
ASV139_ANPR	ASV1_Mesorhizobium	0.001	-0.6158	Negative	Strong	Negative_Strong
ASV15_Mesorhizobium	ASV1_Mesorhizobium	0.002	-0.5098	Negative	Strong	Negative_Strong
ASV153_ANPR	ASV1_Mesorhizobium	0.001	-0.6225	Negative	Strong	Negative_Strong
ASV154_ANPR	ASV1_Mesorhizobium	0.01	-0.4493	Negative	Strong	Negative_Strong
ASV162_ANPR	ASV1_Mesorhizobium	0.002	-0.5334	Negative	Strong	Negative_Strong
ASV176_unknown	ASV1_Mesorhizobium	0.002	-0.547	Negative	Strong	Negative_Strong
ASV178_unknown	ASV1_Mesorhizobium	0.001	-0.5477	Negative	Strong	Negative_Strong
ASV18_ANPR	ASV1_Mesorhizobium	0.001	-0.5243	Negative	Strong	Negative_Strong
ASV21_ANPR	ASV1_Mesorhizobium	0.002	-0.5144	Negative	Strong	Negative_Strong
ASV261_ANPR	ASV1_Mesorhizobium	0.001	-0.5521	Negative	Strong	Negative_Strong
ASV3_ANPR	ASV1_Mesorhizobium	0.001	-0.7257	Negative	Strong	Negative_Strong
ASV31_Mesorhizobium	ASV1_Mesorhizobium	0.008	-0.4434	Negative	Strong	Negative_Strong
ASV33_ANPR	ASV1_Mesorhizobium	0.004	-0.4985	Negative	Strong	Negative_Strong
ASV34_ANPR	ASV1_Mesorhizobium	0.002	-0.4896	Negative	Strong	Negative_Strong
ASV35_Mesorhizobium	ASV1_Mesorhizobium	0.001	0.8664	Positive	Strong	Positive_Strong
ASV37_unknown	ASV1_Mesorhizobium	0.007	-0.4596	Negative	Strong	Negative_Strong
ASV39_unknown	ASV1_Mesorhizobium	0.001	-0.6117	Negative	Strong	Negative_Strong
ASV47_Mesorhizobium	ASV1_Mesorhizobium	0.001	0.6264	Positive	Strong	Positive_Strong
ASV49_ANPR	ASV1_Mesorhizobium	0.001	-0.7251	Negative	Strong	Negative_Strong
ASV61_ANPR	ASV1_Mesorhizobium	0.001	-0.5283	Negative	Strong	Negative_Strong
ASV68_Mesorhizobium	ASV1_Mesorhizobium	0.001	-0.5454	Negative	Strong	Negative_Strong
ASV72_ANPR	ASV1_Mesorhizobium	0.001	-0.645	Negative	Strong	Negative_Strong
ASV75_ANPR	ASV1_Mesorhizobium	0.001	-0.6668	Negative	Strong	Negative_Strong
ASV78_ANPR	ASV1_Mesorhizobium	0.001	-0.6473	Negative	Strong	Negative_Strong
ASV82_ANPR	ASV1_Mesorhizobium	0.001	-0.6181	Negative	Strong	Negative_Strong
ASV89_ANPR	ASV1_Mesorhizobium	0.001	-0.6505	Negative	Strong	Negative_Strong
ASV9_ANPR	ASV1_Mesorhizobium	0.004	-0.499	Negative	Strong	Negative_Strong
ASV95_ANPR	ASV1_Mesorhizobium	0.001	-0.6426	Negative	Strong	Negative_Strong
ASV15_Mesorhizobium	ASV1032_unknown	0.001	-0.376	Negative	Weak	Negative_Weak
ASV21_ANPR	ASV1032_unknown	0.008	-0.304	Negative	Weak	Negative_Weak
ASV218_Variovorax	ASV1032_unknown	0.001	0.6029	Positive	Strong	Positive_Strong
ASV31_Mesorhizobium	ASV1032_unknown	0.007	-0.2931	Negative	Weak	Negative_Weak
ASV37_unknown	ASV1032_unknown	0.006	-0.2775	Negative	Weak	Negative_Weak
ASV382_Mesorhizobium	ASV1032_unknown	0.004	0.378	Positive	Weak	Positive_Weak
ASV39_unknown	ASV1032_unknown	0.01	-0.2624	Negative	Weak	Negative_Weak
ASV41_unknown	ASV1032_unknown	0.007	-0.3166	Negative	Weak	Negative_Weak
ASV60_Mesorhizobium	ASV1032_unknown	0.005	-0.3073	Negative	Weak	Negative_Weak
ASV64_Mesorhizobium	ASV1032_unknown	0.01	-0.2986	Negative	Weak	Negative_Weak
ASV68_Mesorhizobium	ASV1032_unknown	0.003	-0.3184	Negative	Weak	Negative_Weak
ASV8_Mesorhizobium	ASV1032_unknown	0.002	-0.3498	Negative	Weak	Negative_Weak
ASV80_ANPR	ASV1032_unknown	0.01	-0.2906	Negative	Weak	Negative_Weak
ASV954_unknown	ASV1032_unknown	0.001	0.5404	Positive	Strong	Positive_Strong
ASV106_Mesorhizobium	ASV104_Mesorhizobium	0.002	-0.3747	Negative	Weak	Negative_Weak
ASV108_Mesorhizobium	ASV104_Mesorhizobium	5e-04	0.5597	Positive	Strong	Positive_Strong
ASV11_unknown	ASV104_Mesorhizobium	0.003	-0.3971	Negative	Weak	Negative_Weak
ASV110_ANPR	ASV104_Mesorhizobium	5e-04	0.5614	Positive	Strong	Positive_Strong
ASV118_Mesorhizobium	ASV104_Mesorhizobium	0.009	-0.2861	Negative	Weak	Negative_Weak
ASV12_Mesorhizobium	ASV104_Mesorhizobium	0.002	-0.3983	Negative	Weak	Negative_Weak
ASV124_Mesorhizobium	ASV104_Mesorhizobium	0.003	-0.3167	Negative	Weak	Negative_Weak
ASV125_unknown	ASV104_Mesorhizobium	5e-04	0.5895	Positive	Strong	Positive_Strong
ASV126_unknown	ASV104_Mesorhizobium	0.003	-0.3528	Negative	Weak	Negative_Weak
ASV135_unknown	ASV104_Mesorhizobium	5e-04	0.5712	Positive	Strong	Positive_Strong
ASV139_ANPR	ASV104_Mesorhizobium	0.004	-0.3179	Negative	Weak	Negative_Weak
ASV144_ANPR	ASV104_Mesorhizobium	5e-04	0.5963	Positive	Strong	Positive_Strong
ASV166_Mesorhizobium	ASV104_Mesorhizobium	5e-04	0.5852	Positive	Strong	Positive_Strong
ASV176_unknown	ASV104_Mesorhizobium	0.01	-0.3007	Negative	Weak	Negative_Weak
ASV178_unknown	ASV104_Mesorhizobium	0.01	-0.2792	Negative	Weak	Negative_Weak
ASV18_ANPR	ASV104_Mesorhizobium	0.002	-0.3946	Negative	Weak	Negative_Weak
ASV188_Mesorhizobium	ASV104_Mesorhizobium	5e-04	0.536	Positive	Strong	Positive_Strong
ASV202_unknown	ASV104_Mesorhizobium	0.007	-0.2942	Negative	Weak	Negative_Weak
ASV21_ANPR	ASV104_Mesorhizobium	0.002	-0.4005	Negative	Strong	Negative_Strong
ASV217_Mesorhizobium	ASV104_Mesorhizobium	5e-04	0.5195	Positive	Strong	Positive_Strong
ASV231_Mesorhizobium	ASV104_Mesorhizobium	5e-04	0.5006	Positive	Strong	Positive_Strong
ASV244_ANPR	ASV104_Mesorhizobium	5e-04	0.5313	Positive	Strong	Positive_Strong
ASV250_Mesorhizobium	ASV104_Mesorhizobium	5e-04	0.5493	Positive	Strong	Positive_Strong
ASV27_unknown	ASV104_Mesorhizobium	0.001	-0.4007	Negative	Strong	Negative_Strong
ASV3_ANPR	ASV104_Mesorhizobium	0.003	-0.3726	Negative	Weak	Negative_Weak
ASV31_Mesorhizobium	ASV104_Mesorhizobium	0.001	-0.367	Negative	Weak	Negative_Weak
ASV33_ANPR	ASV104_Mesorhizobium	0.001	-0.3865	Negative	Weak	Negative_Weak
ASV34_ANPR	ASV104_Mesorhizobium	0.001	-0.3888	Negative	Weak	Negative_Weak
ASV37_unknown	ASV104_Mesorhizobium	0.001	-0.4059	Negative	Strong	Negative_Strong
ASV39_unknown	ASV104_Mesorhizobium	0.001	-0.392	Negative	Weak	Negative_Weak
ASV41_unknown	ASV104_Mesorhizobium	0.002	-0.3963	Negative	Weak	Negative_Weak
ASV43_unknown	ASV104_Mesorhizobium	5e-04	0.5911	Positive	Strong	Positive_Strong
ASV49_ANPR	ASV104_Mesorhizobium	0.002	-0.3708	Negative	Weak	Negative_Weak
ASV56_ANPR	ASV104_Mesorhizobium	5e-04	0.5969	Positive	Strong	Positive_Strong
ASV58_ANPR	ASV104_Mesorhizobium	5e-04	0.5711	Positive	Strong	Positive_Strong
ASV60_Mesorhizobium	ASV104_Mesorhizobium	0.002	-0.4167	Negative	Strong	Negative_Strong
ASV61_ANPR	ASV104_Mesorhizobium	0.005	-0.3391	Negative	Weak	Negative_Weak
ASV68_Mesorhizobium	ASV104_Mesorhizobium	0.001	-0.3641	Negative	Weak	Negative_Weak
ASV72_ANPR	ASV104_Mesorhizobium	0.002	-0.3616	Negative	Weak	Negative_Weak
ASV74_ANPR	ASV104_Mesorhizobium	0.001	-0.4057	Negative	Strong	Negative_Strong
ASV75_ANPR	ASV104_Mesorhizobium	0.001	-0.3563	Negative	Weak	Negative_Weak
ASV76_Mesorhizobium	ASV104_Mesorhizobium	0.008	-0.3081	Negative	Weak	Negative_Weak
ASV78_ANPR	ASV104_Mesorhizobium	0.001	-0.3969	Negative	Weak	Negative_Weak
ASV80_ANPR	ASV104_Mesorhizobium	0.002	-0.3583	Negative	Weak	Negative_Weak
ASV82_ANPR	ASV104_Mesorhizobium	0.001	-0.3552	Negative	Weak	Negative_Weak
ASV89_ANPR	ASV104_Mesorhizobium	0.001	-0.372	Negative	Weak	Negative_Weak
ASV9_ANPR	ASV104_Mesorhizobium	0.001	-0.3977	Negative	Weak	Negative_Weak
ASV93_ANPR	ASV104_Mesorhizobium	5e-04	0.5219	Positive	Strong	Positive_Strong
ASV95_ANPR	ASV104_Mesorhizobium	0.001	-0.3835	Negative	Weak	Negative_Weak
ASV98_unknown	ASV104_Mesorhizobium	0.0014	0.577	Positive	Strong	Positive_Strong
ASV1168_ANPR	ASV1049_unknown	0.001	0.4134	Positive	Strong	Positive_Strong
ASV133_ANPR	ASV1049_unknown	0.001	0.6032	Positive	Strong	Positive_Strong
ASV154_ANPR	ASV1049_unknown	0.001	0.5624	Positive	Strong	Positive_Strong
ASV162_ANPR	ASV1049_unknown	0.001	0.3884	Positive	Weak	Positive_Weak
ASV176_unknown	ASV1049_unknown	0.01	0.3462	Positive	Weak	Positive_Weak
ASV215_Mesorhizobium	ASV1049_unknown	0.003	0.3563	Positive	Weak	Positive_Weak
ASV380_ANPR	ASV1049_unknown	0.002	0.3971	Positive	Weak	Positive_Weak
ASV852_Mesorhizobium	ASV1049_unknown	0.003	0.3623	Positive	Weak	Positive_Weak
ASV108_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.3819	Negative	Weak	Negative_Weak
ASV109_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.478	Negative	Strong	Negative_Strong
ASV11_unknown	ASV106_Mesorhizobium	0.001	0.8264	Positive	Strong	Positive_Strong
ASV110_ANPR	ASV106_Mesorhizobium	0.001	-0.3569	Negative	Weak	Negative_Weak
ASV111_Mesorhizobium	ASV106_Mesorhizobium	0.003	-0.4912	Negative	Strong	Negative_Strong
ASV117_ANPR	ASV106_Mesorhizobium	0.001	-0.5129	Negative	Strong	Negative_Strong
ASV118_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.563	Positive	Strong	Positive_Strong
ASV1191_unknown	ASV106_Mesorhizobium	0.002	-0.3495	Negative	Weak	Negative_Weak
ASV12_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.8157	Positive	Strong	Positive_Strong
ASV120_ANPR	ASV106_Mesorhizobium	0.001	-0.5016	Negative	Strong	Negative_Strong
ASV121_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.5007	Negative	Strong	Negative_Strong
ASV1224_Duganella	ASV106_Mesorhizobium	0.009	-0.2589	Negative	Weak	Negative_Weak
ASV124_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.6254	Positive	Strong	Positive_Strong
ASV125_unknown	ASV106_Mesorhizobium	0.005	-0.3156	Negative	Weak	Negative_Weak
ASV1257_unknown	ASV106_Mesorhizobium	0.001	-0.4273	Negative	Strong	Negative_Strong
ASV126_unknown	ASV106_Mesorhizobium	0.001	0.7887	Positive	Strong	Positive_Strong
ASV133_ANPR	ASV106_Mesorhizobium	0.007	0.4087	Positive	Strong	Positive_Strong
ASV135_unknown	ASV106_Mesorhizobium	0.002	-0.3889	Negative	Weak	Negative_Weak
ASV139_ANPR	ASV106_Mesorhizobium	0.001	0.7589	Positive	Strong	Positive_Strong
ASV1395_unknown	ASV106_Mesorhizobium	0.001	-0.4554	Negative	Strong	Negative_Strong
ASV141_Pseudomonas	ASV106_Mesorhizobium	0.01	-0.2776	Negative	Weak	Negative_Weak
ASV142_unknown	ASV106_Mesorhizobium	0.001	-0.483	Negative	Strong	Negative_Strong
ASV1430_unknown	ASV106_Mesorhizobium	0.001	-0.4501	Negative	Strong	Negative_Strong
ASV1431_unknown	ASV106_Mesorhizobium	0.001	-0.4952	Negative	Strong	Negative_Strong
ASV144_ANPR	ASV106_Mesorhizobium	0.001	-0.3862	Negative	Weak	Negative_Weak
ASV1447_Rugamonas	ASV106_Mesorhizobium	0.008	-0.2654	Negative	Weak	Negative_Weak
ASV145_unknown	ASV106_Mesorhizobium	0.003	-0.4076	Negative	Strong	Negative_Strong
ASV146_unknown	ASV106_Mesorhizobium	0.003	-0.408	Negative	Strong	Negative_Strong
ASV1464_unknown	ASV106_Mesorhizobium	0.001	-0.3896	Negative	Weak	Negative_Weak
ASV15_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.6122	Positive	Strong	Positive_Strong
ASV154_ANPR	ASV106_Mesorhizobium	0.003	0.449	Positive	Strong	Positive_Strong
ASV158_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.5054	Negative	Strong	Negative_Strong
ASV160_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4781	Negative	Strong	Negative_Strong
ASV161_Mesorhizobium	ASV106_Mesorhizobium	0.003	-0.414	Negative	Strong	Negative_Strong
ASV162_ANPR	ASV106_Mesorhizobium	0.001	0.6223	Positive	Strong	Positive_Strong
ASV166_Mesorhizobium	ASV106_Mesorhizobium	0.002	-0.3795	Negative	Weak	Negative_Weak
ASV17_ANPR	ASV106_Mesorhizobium	0.001	-0.5038	Negative	Strong	Negative_Strong
ASV170_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4852	Negative	Strong	Negative_Strong
ASV176_unknown	ASV106_Mesorhizobium	0.001	0.7779	Positive	Strong	Positive_Strong
ASV178_unknown	ASV106_Mesorhizobium	0.001	0.7787	Positive	Strong	Positive_Strong
ASV18_ANPR	ASV106_Mesorhizobium	0.001	0.8249	Positive	Strong	Positive_Strong
ASV185_unknown	ASV106_Mesorhizobium	0.001	-0.5011	Negative	Strong	Negative_Strong
ASV188_Mesorhizobium	ASV106_Mesorhizobium	0.002	-0.3811	Negative	Weak	Negative_Weak
ASV197_Mesorhizobium	ASV106_Mesorhizobium	0.002	-0.5034	Negative	Strong	Negative_Strong
ASV202_unknown	ASV106_Mesorhizobium	0.001	0.5559	Positive	Strong	Positive_Strong
ASV21_ANPR	ASV106_Mesorhizobium	0.001	0.8189	Positive	Strong	Positive_Strong
ASV215_Mesorhizobium	ASV106_Mesorhizobium	0.009	0.3888	Positive	Weak	Positive_Weak
ASV217_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.3512	Negative	Weak	Negative_Weak
ASV22_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.5135	Negative	Strong	Negative_Strong
ASV231_Mesorhizobium	ASV106_Mesorhizobium	0.005	-0.3485	Negative	Weak	Negative_Weak
ASV244_ANPR	ASV106_Mesorhizobium	0.001	-0.4148	Negative	Strong	Negative_Strong
ASV247_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.495	Negative	Strong	Negative_Strong
ASV250_Mesorhizobium	ASV106_Mesorhizobium	0.002	-0.3826	Negative	Weak	Negative_Weak
ASV254_ANPR	ASV106_Mesorhizobium	0.001	-0.5106	Negative	Strong	Negative_Strong
ASV26_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.453	Negative	Strong	Negative_Strong
ASV261_ANPR	ASV106_Mesorhizobium	0.001	0.709	Positive	Strong	Positive_Strong
ASV27_unknown	ASV106_Mesorhizobium	0.001	0.8364	Positive	Strong	Positive_Strong
ASV274_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4376	Negative	Strong	Negative_Strong
ASV281_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4992	Negative	Strong	Negative_Strong
ASV292_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4719	Negative	Strong	Negative_Strong
ASV3_ANPR	ASV106_Mesorhizobium	0.001	0.7232	Positive	Strong	Positive_Strong
ASV307_unknown	ASV106_Mesorhizobium	0.002	-0.41	Negative	Strong	Negative_Strong
ASV31_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.8067	Positive	Strong	Positive_Strong
ASV32_ANPR	ASV106_Mesorhizobium	0.001	-0.519	Negative	Strong	Negative_Strong
ASV33_ANPR	ASV106_Mesorhizobium	0.001	0.8133	Positive	Strong	Positive_Strong
ASV336_Mesorhizobium	ASV106_Mesorhizobium	0.002	-0.3214	Negative	Weak	Negative_Weak
ASV34_ANPR	ASV106_Mesorhizobium	0.001	0.8224	Positive	Strong	Positive_Strong
ASV348_unknown	ASV106_Mesorhizobium	0.001	-0.4506	Negative	Strong	Negative_Strong
ASV35_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.6064	Negative	Strong	Negative_Strong
ASV36_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.474	Negative	Strong	Negative_Strong
ASV37_unknown	ASV106_Mesorhizobium	0.001	0.8129	Positive	Strong	Positive_Strong
ASV375_unknown	ASV106_Mesorhizobium	0.001	-0.4212	Negative	Strong	Negative_Strong
ASV386_unknown	ASV106_Mesorhizobium	0.003	-0.413	Negative	Strong	Negative_Strong
ASV39_unknown	ASV106_Mesorhizobium	0.001	0.864	Positive	Strong	Positive_Strong
ASV392_unknown	ASV106_Mesorhizobium	0.001	-0.3963	Negative	Weak	Negative_Weak
ASV396_unknown	ASV106_Mesorhizobium	0.001	-0.4019	Negative	Strong	Negative_Strong
ASV41_unknown	ASV106_Mesorhizobium	0.001	0.7522	Positive	Strong	Positive_Strong
ASV421_unknown	ASV106_Mesorhizobium	0.002	-0.4468	Negative	Strong	Negative_Strong
ASV426_unknown	ASV106_Mesorhizobium	0.001	-0.4059	Negative	Strong	Negative_Strong
ASV43_unknown	ASV106_Mesorhizobium	0.003	-0.3488	Negative	Weak	Negative_Weak
ASV458_unknown	ASV106_Mesorhizobium	0.001	-0.4294	Negative	Strong	Negative_Strong
ASV47_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.5457	Negative	Strong	Negative_Strong
ASV48_Pseudomonas	ASV106_Mesorhizobium	0.004	-0.3872	Negative	Weak	Negative_Weak
ASV49_ANPR	ASV106_Mesorhizobium	0.001	0.7555	Positive	Strong	Positive_Strong
ASV498_unknown	ASV106_Mesorhizobium	0.001	-0.4036	Negative	Strong	Negative_Strong
ASV50_ANPR	ASV106_Mesorhizobium	0.001	-0.46	Negative	Strong	Negative_Strong
ASV51_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4705	Negative	Strong	Negative_Strong
ASV53_ANPR	ASV106_Mesorhizobium	0.002	-0.4525	Negative	Strong	Negative_Strong
ASV55_ANPR	ASV106_Mesorhizobium	0.001	-0.5001	Negative	Strong	Negative_Strong
ASV56_ANPR	ASV106_Mesorhizobium	0.001	-0.3647	Negative	Weak	Negative_Weak
ASV57_Pseudomonas	ASV106_Mesorhizobium	0.004	-0.4016	Negative	Strong	Negative_Strong
ASV58_ANPR	ASV106_Mesorhizobium	0.002	-0.3474	Negative	Weak	Negative_Weak
ASV59_ANPR	ASV106_Mesorhizobium	0.001	-0.4717	Negative	Strong	Negative_Strong
ASV591_unknown	ASV106_Mesorhizobium	0.005	-0.3855	Negative	Weak	Negative_Weak
ASV6_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.6127	Negative	Strong	Negative_Strong
ASV60_Mesorhizobium	ASV106_Mesorhizobium	0.002	0.5337	Positive	Strong	Positive_Strong
ASV61_ANPR	ASV106_Mesorhizobium	0.001	0.7865	Positive	Strong	Positive_Strong
ASV626_Azorhizophilus	ASV106_Mesorhizobium	0.001	-0.4245	Negative	Strong	Negative_Strong
ASV63_unknown	ASV106_Mesorhizobium	0.001	-0.464	Negative	Strong	Negative_Strong
ASV64_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.5817	Positive	Strong	Positive_Strong
ASV66_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4829	Negative	Strong	Negative_Strong
ASV67_Mesorhizobium	ASV106_Mesorhizobium	0.002	0.5843	Positive	Strong	Positive_Strong
ASV68_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.8195	Positive	Strong	Positive_Strong
ASV70_Caulobacter	ASV106_Mesorhizobium	0.003	-0.3051	Negative	Weak	Negative_Weak
ASV717_Pseudomonas	ASV106_Mesorhizobium	0.001	-0.3831	Negative	Weak	Negative_Weak
ASV72_ANPR	ASV106_Mesorhizobium	0.001	0.8345	Positive	Strong	Positive_Strong
ASV733_unknown	ASV106_Mesorhizobium	0.002	-0.4026	Negative	Strong	Negative_Strong
ASV74_ANPR	ASV106_Mesorhizobium	0.001	0.7391	Positive	Strong	Positive_Strong
ASV747_unknown	ASV106_Mesorhizobium	0.006	-0.2637	Negative	Weak	Negative_Weak
ASV748_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4253	Negative	Strong	Negative_Strong
ASV75_ANPR	ASV106_Mesorhizobium	0.001	0.8283	Positive	Strong	Positive_Strong
ASV756_Mesorhizobium	ASV106_Mesorhizobium	0.004	-0.2937	Negative	Weak	Negative_Weak
ASV76_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.6593	Positive	Strong	Positive_Strong
ASV78_ANPR	ASV106_Mesorhizobium	0.001	0.8346	Positive	Strong	Positive_Strong
ASV8_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.6939	Positive	Strong	Positive_Strong
ASV80_ANPR	ASV106_Mesorhizobium	0.001	0.7226	Positive	Strong	Positive_Strong
ASV81_Mesorhizobium	ASV106_Mesorhizobium	0.001	0.5414	Positive	Strong	Positive_Strong
ASV82_ANPR	ASV106_Mesorhizobium	0.001	0.8142	Positive	Strong	Positive_Strong
ASV84_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4667	Negative	Strong	Negative_Strong
ASV869_ANPR	ASV106_Mesorhizobium	0.001	-0.4863	Negative	Strong	Negative_Strong
ASV87_Mesorhizobium	ASV106_Mesorhizobium	0.004	-0.4763	Negative	Strong	Negative_Strong
ASV879_Mesorhizobium	ASV106_Mesorhizobium	0.001	-0.4498	Negative	Strong	Negative_Strong
ASV89_ANPR	ASV106_Mesorhizobium	0.001	0.8435	Positive	Strong	Positive_Strong
ASV9_ANPR	ASV106_Mesorhizobium	0.001	0.8262	Positive	Strong	Positive_Strong
ASV920_ANPR	ASV106_Mesorhizobium	0.001	-0.4521	Negative	Strong	Negative_Strong
ASV93_ANPR	ASV106_Mesorhizobium	0.002	-0.3582	Negative	Weak	Negative_Weak
ASV95_ANPR	ASV106_Mesorhizobium	0.001	0.7956	Positive	Strong	Positive_Strong
ASV97_ANPR	ASV106_Mesorhizobium	0.001	-0.474	Negative	Strong	Negative_Strong
ASV98_unknown	ASV106_Mesorhizobium	0.003	-0.3407	Negative	Weak	Negative_Weak
ASV11_unknown	ASV108_Mesorhizobium	0.002	-0.3987	Negative	Weak	Negative_Weak
ASV110_ANPR	ASV108_Mesorhizobium	5e-04	0.5697	Positive	Strong	Positive_Strong
ASV118_Mesorhizobium	ASV108_Mesorhizobium	0.002	-0.3787	Negative	Weak	Negative_Weak
ASV12_Mesorhizobium	ASV108_Mesorhizobium	0.002	-0.3923	Negative	Weak	Negative_Weak
ASV124_Mesorhizobium	ASV108_Mesorhizobium	0.002	-0.3427	Negative	Weak	Negative_Weak
ASV125_unknown	ASV108_Mesorhizobium	5e-04	0.5685	Positive	Strong	Positive_Strong
ASV126_unknown	ASV108_Mesorhizobium	0.003	-0.3593	Negative	Weak	Negative_Weak
ASV135_unknown	ASV108_Mesorhizobium	5e-04	0.5884	Positive	Strong	Positive_Strong
ASV139_ANPR	ASV108_Mesorhizobium	0.003	-0.3149	Negative	Weak	Negative_Weak
ASV144_ANPR	ASV108_Mesorhizobium	5e-04	0.5776	Positive	Strong	Positive_Strong
ASV166_Mesorhizobium	ASV108_Mesorhizobium	5e-04	0.5554	Positive	Strong	Positive_Strong
ASV178_unknown	ASV108_Mesorhizobium	0.005	-0.306	Negative	Weak	Negative_Weak
ASV18_ANPR	ASV108_Mesorhizobium	0.002	-0.3784	Negative	Weak	Negative_Weak
ASV188_Mesorhizobium	ASV108_Mesorhizobium	5e-04	0.5579	Positive	Strong	Positive_Strong
ASV202_unknown	ASV108_Mesorhizobium	0.008	-0.303	Negative	Weak	Negative_Weak
ASV21_ANPR	ASV108_Mesorhizobium	0.001	-0.3982	Negative	Weak	Negative_Weak
ASV217_Mesorhizobium	ASV108_Mesorhizobium	5e-04	0.5438	Positive	Strong	Positive_Strong
ASV231_Mesorhizobium	ASV108_Mesorhizobium	5e-04	0.533	Positive	Strong	Positive_Strong
ASV244_ANPR	ASV108_Mesorhizobium	5e-04	0.5696	Positive	Strong	Positive_Strong
ASV250_Mesorhizobium	ASV108_Mesorhizobium	5e-04	0.5386	Positive	Strong	Positive_Strong
ASV27_unknown	ASV108_Mesorhizobium	0.002	-0.3909	Negative	Weak	Negative_Weak
ASV3_ANPR	ASV108_Mesorhizobium	0.002	-0.3766	Negative	Weak	Negative_Weak
ASV31_Mesorhizobium	ASV108_Mesorhizobium	0.001	-0.3846	Negative	Weak	Negative_Weak
ASV33_ANPR	ASV108_Mesorhizobium	0.002	-0.3977	Negative	Weak	Negative_Weak
ASV34_ANPR	ASV108_Mesorhizobium	0.002	-0.3872	Negative	Weak	Negative_Weak
ASV37_unknown	ASV108_Mesorhizobium	0.001	-0.3947	Negative	Weak	Negative_Weak
ASV39_unknown	ASV108_Mesorhizobium	0.001	-0.3773	Negative	Weak	Negative_Weak
ASV41_unknown	ASV108_Mesorhizobium	0.001	-0.3976	Negative	Weak	Negative_Weak
ASV43_unknown	ASV108_Mesorhizobium	5e-04	0.6397	Positive	Strong	Positive_Strong
ASV49_ANPR	ASV108_Mesorhizobium	0.002	-0.3631	Negative	Weak	Negative_Weak
ASV56_ANPR	ASV108_Mesorhizobium	5e-04	0.5941	Positive	Strong	Positive_Strong
ASV58_ANPR	ASV108_Mesorhizobium	5e-04	0.57	Positive	Strong	Positive_Strong
ASV60_Mesorhizobium	ASV108_Mesorhizobium	0.001	-0.4473	Negative	Strong	Negative_Strong
ASV61_ANPR	ASV108_Mesorhizobium	0.007	-0.2793	Negative	Weak	Negative_Weak
ASV68_Mesorhizobium	ASV108_Mesorhizobium	0.002	-0.3856	Negative	Weak	Negative_Weak
ASV72_ANPR	ASV108_Mesorhizobium	0.005	-0.3442	Negative	Weak	Negative_Weak
ASV74_ANPR	ASV108_Mesorhizobium	0.001	-0.3845	Negative	Weak	Negative_Weak
ASV75_ANPR	ASV108_Mesorhizobium	0.003	-0.3649	Negative	Weak	Negative_Weak
ASV76_Mesorhizobium	ASV108_Mesorhizobium	0.007	-0.3313	Negative	Weak	Negative_Weak
ASV78_ANPR	ASV108_Mesorhizobium	0.001	-0.3739	Negative	Weak	Negative_Weak
