"Class","Family","Genus","Kingdom","name","Order","Phylum","RAmean","RARange","RAsum","selected","shared name","X"
"Gammaproteobacteria","Burkholderiaceae","Rhizobacter","Bacteria","ASV119_Rhizobacter","Betaproteobacteriales","Proteobacteria","8.71495562762872E-5","Q3","0.00871495562762872","false","ASV119_Rhizobacter","ASV119"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV637_ANPR","Rhizobiales","Proteobacteria","2.08790061593068E-5","Q1","0.00208790061593068","false","ASV637_ANPR","ASV637"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV427_ANPR","Rhizobiales","Proteobacteria","2.51341865863261E-5","Q2","0.00251341865863261","false","ASV427_ANPR","ASV427"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV71_unknown","Rhizobiales","Proteobacteria","2.49063889809221E-4","Q4","0.0249063889809221","false","ASV71_unknown","ASV71"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV306_Mesorhizobium","Rhizobiales","Proteobacteria","2.62133677646422E-5","Q2","0.00262133677646422","false","ASV306_Mesorhizobium","ASV306"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV343_Mesorhizobium","Rhizobiales","Proteobacteria","2.70352430135492E-5","Q2","0.00270352430135492","false","ASV343_Mesorhizobium","ASV343"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV112_Mesorhizobium","Rhizobiales","Proteobacteria","1.13920660337101E-4","Q3","0.0113920660337101","false","ASV112_Mesorhizobium","ASV112"
"Gammaproteobacteria","Pseudomonadaceae","unknown","Bacteria","ASV1396_unknown","Pseudomonadales","Proteobacteria","3.34137952886549E-6","Q1","3.34137952886549E-4","false","ASV1396_unknown","ASV1396"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV1258_ANPR","Rhizobiales","Proteobacteria","4.92820995645522E-6","Q1","4.92820995645522E-4","false","ASV1258_ANPR","ASV1258"
"Gammaproteobacteria","Burkholderiaceae","unknown","Bacteria","ASV569_unknown","Betaproteobacteriales","Proteobacteria","9.31530179198896E-6","Q1","9.31530179198896E-4","false","ASV569_unknown","ASV569"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV157_unknown","Rhizobiales","Proteobacteria","7.34830336440212E-5","Q2","0.00734830336440212","false","ASV157_unknown","ASV157"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV97_ANPR","Rhizobiales","Proteobacteria","1.07855267662943E-4","Q3","0.0107855267662943","false","ASV97_ANPR","ASV97"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV920_ANPR","Rhizobiales","Proteobacteria","5.30715681793956E-6","Q1","5.30715681793956E-4","false","ASV920_ANPR","ASV920"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV879_Mesorhizobium","Rhizobiales","Proteobacteria","8.58186835790173E-6","Q1","8.58186835790173E-4","false","ASV879_Mesorhizobium","ASV879"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV87_Mesorhizobium","Rhizobiales","Proteobacteria","1.56357316974988E-4","Q3","0.0156357316974988","false","ASV87_Mesorhizobium","ASV87"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV869_ANPR","Rhizobiales","Proteobacteria","5.98713605163113E-6","Q1","5.98713605163113E-4","false","ASV869_ANPR","ASV869"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV84_Mesorhizobium","Rhizobiales","Proteobacteria","1.86311423904529E-4","Q3","0.0186311423904529","false","ASV84_Mesorhizobium","ASV84"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV81_Mesorhizobium","Rhizobiales","Proteobacteria","2.08351863563255E-4","Q3","0.0208351863563255","false","ASV81_Mesorhizobium","ASV81"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV756_Mesorhizobium","Rhizobiales","Proteobacteria","7.76466378848554E-6","Q1","7.76466378848554E-4","false","ASV756_Mesorhizobium","ASV756"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV748_Mesorhizobium","Rhizobiales","Proteobacteria","6.30765217803704E-6","Q1","6.30765217803704E-4","false","ASV748_Mesorhizobium","ASV748"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV747_unknown","Rhizobiales","Proteobacteria","9.17407169778398E-6","Q1","9.17407169778398E-4","false","ASV747_unknown","ASV747"
"Gammaproteobacteria","Burkholderiaceae","unknown","Bacteria","ASV733_unknown","Betaproteobacteriales","Proteobacteria","6.74178475266955E-6","Q1","6.74178475266955E-4","false","ASV733_unknown","ASV733"
"Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Bacteria","ASV717_Pseudomonas","Pseudomonadales","Proteobacteria","7.67505224819728E-6","Q1","7.67505224819728E-4","false","ASV717_Pseudomonas","ASV717"
"Alphaproteobacteria","Caulobacteraceae","Caulobacter","Bacteria","ASV70_Caulobacter","Caulobacterales","Proteobacteria","7.6255268364267E-4","Q4","0.076255268364267","false","ASV70_Caulobacter","ASV70"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV67_Mesorhizobium","Rhizobiales","Proteobacteria","2.74953172818051E-4","Q4","0.0274953172818051","false","ASV67_Mesorhizobium","ASV67"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV66_Mesorhizobium","Rhizobiales","Proteobacteria","1.88353719509728E-4","Q3","0.0188353719509728","false","ASV66_Mesorhizobium","ASV66"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV63_unknown","Rhizobiales","Proteobacteria","2.28299385288093E-4","Q3","0.0228299385288093","false","ASV63_unknown","ASV63"
"Gammaproteobacteria","Pseudomonadaceae","Azorhizophilus","Bacteria","ASV626_Azorhizophilus","Pseudomonadales","Proteobacteria","1.17164134416736E-5","Q1","0.00117164134416736","false","ASV626_Azorhizophilus","ASV626"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV6_Mesorhizobium","Rhizobiales","Proteobacteria","0.00979736771222836","Q4","0.979736771222836","false","ASV6_Mesorhizobium","ASV6"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV591_unknown","Rhizobiales","Proteobacteria","1.36115024480428E-5","Q1","0.00136115024480428","false","ASV591_unknown","ASV591"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV59_ANPR","Rhizobiales","Proteobacteria","2.36146077474721E-4","Q3","0.0236146077474721","false","ASV59_ANPR","ASV59"
"Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Bacteria","ASV57_Pseudomonas","Pseudomonadales","Proteobacteria","3.84386072414323E-4","Q4","0.0384386072414323","false","ASV57_Pseudomonas","ASV57"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV55_ANPR","Rhizobiales","Proteobacteria","2.48829316282396E-4","Q3","0.0248829316282396","false","ASV55_ANPR","ASV55"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV53_ANPR","Rhizobiales","Proteobacteria","2.5661441694448E-4","Q4","0.025661441694448","false","ASV53_ANPR","ASV53"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV51_Mesorhizobium","Rhizobiales","Proteobacteria","2.72278279040398E-4","Q4","0.0272278279040398","false","ASV51_Mesorhizobium","ASV51"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV50_ANPR","Rhizobiales","Proteobacteria","2.72171677235318E-4","Q4","0.0272171677235318","false","ASV50_ANPR","ASV50"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV498_unknown","Rhizobiales","Proteobacteria","1.26821929406512E-5","Q1","0.00126821929406512","false","ASV498_unknown","ASV498"
"Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Bacteria","ASV48_Pseudomonas","Pseudomonadales","Proteobacteria","0.00128114202266858","Q4","0.128114202266858","false","ASV48_Pseudomonas","ASV48"
"Alphaproteobacteria","NA","unknown","Bacteria","ASV458_unknown","Rhizobiales","Proteobacteria","2.68531984904032E-5","Q2","0.00268531984904032","false","ASV458_unknown","ASV458"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV426_unknown","Rhizobiales","Proteobacteria","2.91408075181284E-5","Q2","0.00291408075181284","false","ASV426_unknown","ASV426"
"Gammaproteobacteria","Pseudomonadaceae","unknown","Bacteria","ASV421_unknown","Pseudomonadales","Proteobacteria","2.13305450425622E-5","Q2","0.00213305450425622","false","ASV421_unknown","ASV421"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV396_unknown","Rhizobiales","Proteobacteria","2.06869916102476E-5","Q1","0.00206869916102476","false","ASV396_unknown","ASV396"
"Gammaproteobacteria","Pseudomonadaceae","unknown","Bacteria","ASV392_unknown","Pseudomonadales","Proteobacteria","1.85174793939239E-5","Q1","0.00185174793939239","false","ASV392_unknown","ASV392"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV386_unknown","Rhizobiales","Proteobacteria","3.70301982893936E-5","Q2","0.00370301982893936","false","ASV386_unknown","ASV386"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV375_unknown","Rhizobiales","Proteobacteria","2.12780397225893E-5","Q2","0.00212780397225893","false","ASV375_unknown","ASV375"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV36_Mesorhizobium","Rhizobiales","Proteobacteria","5.73148584437194E-4","Q4","0.0573148584437194","false","ASV36_Mesorhizobium","ASV36"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV348_unknown","Rhizobiales","Proteobacteria","1.70909428262071E-5","Q1","0.00170909428262071","false","ASV348_unknown","ASV348"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV336_Mesorhizobium","Rhizobiales","Proteobacteria","2.04257274172143E-5","Q1","0.00204257274172143","false","ASV336_Mesorhizobium","ASV336"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV32_ANPR","Rhizobiales","Proteobacteria","6.30078376341708E-4","Q4","0.0630078376341708","false","ASV32_ANPR","ASV32"
"Gammaproteobacteria","Pseudomonadaceae","unknown","Bacteria","ASV307_unknown","Pseudomonadales","Proteobacteria","3.24610686507604E-5","Q2","0.00324610686507604","false","ASV307_unknown","ASV307"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV292_Mesorhizobium","Rhizobiales","Proteobacteria","2.44634401125204E-5","Q2","0.00244634401125204","false","ASV292_Mesorhizobium","ASV292"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV281_Mesorhizobium","Rhizobiales","Proteobacteria","2.18445082014536E-5","Q2","0.00218445082014536","false","ASV281_Mesorhizobium","ASV281"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV274_Mesorhizobium","Rhizobiales","Proteobacteria","3.15210233353778E-5","Q2","0.00315210233353778","false","ASV274_Mesorhizobium","ASV274"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV26_Mesorhizobium","Rhizobiales","Proteobacteria","0.00121126247200263","Q4","0.121126247200263","false","ASV26_Mesorhizobium","ASV26"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV254_ANPR","Rhizobiales","Proteobacteria","2.53457737314956E-5","Q2","0.00253457737314956","false","ASV254_ANPR","ASV254"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV247_Mesorhizobium","Rhizobiales","Proteobacteria","2.7152288084044E-5","Q2","0.0027152288084044","false","ASV247_Mesorhizobium","ASV247"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV22_Mesorhizobium","Rhizobiales","Proteobacteria","9.22550407452541E-4","Q4","0.0922550407452541","false","ASV22_Mesorhizobium","ASV22"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV197_Mesorhizobium","Rhizobiales","Proteobacteria","4.62453155489648E-5","Q2","0.00462453155489648","false","ASV197_Mesorhizobium","ASV197"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV185_unknown","Rhizobiales","Proteobacteria","3.77021668068546E-5","Q2","0.00377021668068546","false","ASV185_unknown","ASV185"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV170_Mesorhizobium","Rhizobiales","Proteobacteria","4.29456479193577E-5","Q2","0.00429456479193577","false","ASV170_Mesorhizobium","ASV170"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV17_ANPR","Rhizobiales","Proteobacteria","0.00128586714528304","Q4","0.128586714528304","false","ASV17_ANPR","ASV17"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV161_Mesorhizobium","Rhizobiales","Proteobacteria","5.22316448725958E-5","Q2","0.00522316448725958","false","ASV161_Mesorhizobium","ASV161"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV160_Mesorhizobium","Rhizobiales","Proteobacteria","5.139883282853E-5","Q2","0.005139883282853","false","ASV160_Mesorhizobium","ASV160"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV158_Mesorhizobium","Rhizobiales","Proteobacteria","4.61204300696045E-5","Q2","0.00461204300696045","false","ASV158_Mesorhizobium","ASV158"
"Gammaproteobacteria","Burkholderiaceae","unknown","Bacteria","ASV1464_unknown","Betaproteobacteriales","Proteobacteria","2.83607299256981E-6","Q1","2.83607299256981E-4","false","ASV1464_unknown","ASV1464"
"Gammaproteobacteria","Pseudomonadaceae","unknown","Bacteria","ASV146_unknown","Pseudomonadales","Proteobacteria","8.80447967891866E-5","Q3","0.00880447967891866","false","ASV146_unknown","ASV146"
"Gammaproteobacteria","Pseudomonadaceae","unknown","Bacteria","ASV145_unknown","Pseudomonadales","Proteobacteria","8.12549102924287E-5","Q3","0.00812549102924287","false","ASV145_unknown","ASV145"
"Gammaproteobacteria","Burkholderiaceae","Rugamonas","Bacteria","ASV1447_Rugamonas","Betaproteobacteriales","Proteobacteria","2.8186770667309E-6","Q1","2.8186770667309E-4","false","ASV1447_Rugamonas","ASV1447"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV1431_unknown","Rhizobiales","Proteobacteria","2.65585354864717E-6","Q1","2.65585354864717E-4","false","ASV1431_unknown","ASV1431"
