Node1	Node2	Pvalue	Cor	CorrB	CorRange	CorrStrong	name	v1	n1	v2	n2	name2
ASV717_Pseudomonas	ASV28_Pseudomonas	0.001	0.5799	Positive	Strong	Positive_Strong	ASV717_Pseudomonas_ASV28_Pseudomonas	ASV717	Pseudomonas	ASV28	Pseudomonas	Pseudomonas_Pseudomonas
ASV879_Mesorhizobium	ASV28_Pseudomonas	0.006	0.3427	Positive	Weak	Positive_Weak	ASV879_Mesorhizobium_ASV28_Pseudomonas	ASV879	Mesorhizobium	ASV28	Pseudomonas	Mesorhizobium_Pseudomonas
ASV48_Pseudomonas	ASV31_Mesorhizobium	0.003	-0.404	Negative	Strong	Negative_Strong	ASV48_Pseudomonas_ASV31_Mesorhizobium	ASV48	Pseudomonas	ASV31	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV57_Pseudomonas	ASV31_Mesorhizobium	0.006	-0.4109	Negative	Strong	Negative_Strong	ASV57_Pseudomonas_ASV31_Mesorhizobium	ASV57	Pseudomonas	ASV31	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV48_Pseudomonas	ASV33_ANPR	0.003	-0.4035	Negative	Strong	Negative_Strong	ASV48_Pseudomonas_ASV33_ANPR	ASV48	Pseudomonas	ASV33	ANPR	Pseudomonas_ANPR
ASV57_Pseudomonas	ASV33_ANPR	0.007	-0.4092	Negative	Strong	Negative_Strong	ASV57_Pseudomonas_ASV33_ANPR	ASV57	Pseudomonas	ASV33	ANPR	Pseudomonas_ANPR
ASV48_Pseudomonas	ASV343_Mesorhizobium	0.002	0.5279	Positive	Strong	Positive_Strong	ASV48_Pseudomonas_ASV343_Mesorhizobium	ASV48	Pseudomonas	ASV343	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV57_Pseudomonas	ASV343_Mesorhizobium	0.001	0.5635	Positive	Strong	Positive_Strong	ASV57_Pseudomonas_ASV343_Mesorhizobium	ASV57	Pseudomonas	ASV343	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV717_Pseudomonas	ASV343_Mesorhizobium	0.001	0.5254	Positive	Strong	Positive_Strong	ASV717_Pseudomonas_ASV343_Mesorhizobium	ASV717	Pseudomonas	ASV343	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV717_Pseudomonas	ASV35_Mesorhizobium	0.009	0.3548	Positive	Weak	Positive_Weak	ASV717_Pseudomonas_ASV35_Mesorhizobium	ASV717	Pseudomonas	ASV35	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV48_Pseudomonas	ASV4_Mesorhizobium	0.003	0.4011	Positive	Strong	Positive_Strong	ASV48_Pseudomonas_ASV4_Mesorhizobium	ASV48	Pseudomonas	ASV4	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV57_Pseudomonas	ASV4_Mesorhizobium	0.007	0.3768	Positive	Weak	Positive_Weak	ASV57_Pseudomonas_ASV4_Mesorhizobium	ASV57	Pseudomonas	ASV4	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV717_Pseudomonas	ASV4_Mesorhizobium	0.003	0.3607	Positive	Weak	Positive_Weak	ASV717_Pseudomonas_ASV4_Mesorhizobium	ASV717	Pseudomonas	ASV4	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV48_Pseudomonas	ASV47_Mesorhizobium	0.006	0.367	Positive	Weak	Positive_Weak	ASV48_Pseudomonas_ASV47_Mesorhizobium	ASV48	Pseudomonas	ASV47	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV57_Pseudomonas	ASV47_Mesorhizobium	0.008	0.3468	Positive	Weak	Positive_Weak	ASV57_Pseudomonas_ASV47_Mesorhizobium	ASV57	Pseudomonas	ASV47	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV717_Pseudomonas	ASV47_Mesorhizobium	0.003	0.3617	Positive	Weak	Positive_Weak	ASV717_Pseudomonas_ASV47_Mesorhizobium	ASV717	Pseudomonas	ASV47	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV49_ANPR	ASV48_Pseudomonas	0.006	-0.3782	Negative	Weak	Negative_Weak	ASV49_ANPR_ASV48_Pseudomonas	ASV49	ANPR	ASV48	Pseudomonas	ANPR_Pseudomonas
ASV57_Pseudomonas	ASV48_Pseudomonas	0.001	0.7465	Positive	Strong	Positive_Strong	ASV57_Pseudomonas_ASV48_Pseudomonas	ASV57	Pseudomonas	ASV48	Pseudomonas	Pseudomonas_Pseudomonas
ASV6_Mesorhizobium	ASV48_Pseudomonas	0.001	0.4561	Positive	Strong	Positive_Strong	ASV6_Mesorhizobium_ASV48_Pseudomonas	ASV6	Mesorhizobium	ASV48	Pseudomonas	Mesorhizobium_Pseudomonas
ASV64_Mesorhizobium	ASV48_Pseudomonas	0.006	-0.3907	Negative	Weak	Negative_Weak	ASV64_Mesorhizobium_ASV48_Pseudomonas	ASV64	Mesorhizobium	ASV48	Pseudomonas	Mesorhizobium_Pseudomonas
ASV67_Mesorhizobium	ASV48_Pseudomonas	0.004	-0.3871	Negative	Weak	Negative_Weak	ASV67_Mesorhizobium_ASV48_Pseudomonas	ASV67	Mesorhizobium	ASV48	Pseudomonas	Mesorhizobium_Pseudomonas
ASV68_Mesorhizobium	ASV48_Pseudomonas	0.001	-0.447	Negative	Strong	Negative_Strong	ASV68_Mesorhizobium_ASV48_Pseudomonas	ASV68	Mesorhizobium	ASV48	Pseudomonas	Mesorhizobium_Pseudomonas
