"Class","degree.layout","Family","Genus","Kingdom","name","Order","Phylum","RAmean","RARange","RAsum","selected","shared name","X"
"Gammaproteobacteria",,"Pseudomonadaceae","Pseudomonas","Bacteria","ASV717_Pseudomonas","Pseudomonadales","Proteobacteria","7.67505224819728E-6","Q1","7.67505224819728E-4","false","ASV717_Pseudomonas","ASV717"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV47_Mesorhizobium","Rhizobiales","Proteobacteria","3.94614955757954E-4","Q4","0.0394614955757954","false","ASV47_Mesorhizobium","ASV47"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV67_Mesorhizobium","Rhizobiales","Proteobacteria","2.74953172818051E-4","Q4","0.0274953172818051","false","ASV67_Mesorhizobium","ASV67"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV35_Mesorhizobium","Rhizobiales","Proteobacteria","8.24524191761652E-4","Q4","0.0824524191761652","false","ASV35_Mesorhizobium","ASV35"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV64_Mesorhizobium","Rhizobiales","Proteobacteria","3.17398139590303E-4","Q4","0.0317398139590303","false","ASV64_Mesorhizobium","ASV64"
"Alphaproteobacteria","2","Rhizobiaceae","ANPR","Bacteria","ASV33_ANPR","Rhizobiales","Proteobacteria","9.31192872441299E-4","Q4","0.0931192872441299","false","ASV33_ANPR","ASV33"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV6_Mesorhizobium","Rhizobiales","Proteobacteria","0.00979736771222836","Q4","0.979736771222836","false","ASV6_Mesorhizobium","ASV6"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV31_Mesorhizobium","Rhizobiales","Proteobacteria","9.26499303324474E-4","Q4","0.0926499303324474","false","ASV31_Mesorhizobium","ASV31"
"Gammaproteobacteria",,"Pseudomonadaceae","Pseudomonas","Bacteria","ASV57_Pseudomonas","Pseudomonadales","Proteobacteria","3.84386072414323E-4","Q4","0.0384386072414323","false","ASV57_Pseudomonas","ASV57"
"Alphaproteobacteria","2","Rhizobiaceae","ANPR","Bacteria","ASV261_ANPR","Rhizobiales","Proteobacteria","4.23015899829851E-5","Q2","0.00423015899829851","false","ASV261_ANPR","ASV261"
"Alphaproteobacteria","3","Rhizobiaceae","ANPR","Bacteria","ASV21_ANPR","Rhizobiales","Proteobacteria","0.00148666437236467","Q4","0.148666437236467","false","ASV21_ANPR","ASV21"
"Alphaproteobacteria","2","Rhizobiaceae","ANPR","Bacteria","ASV162_ANPR","Rhizobiales","Proteobacteria","8.61516238109E-5","Q3","0.00861516238109","false","ASV162_ANPR","ASV162"
"Gammaproteobacteria",,"Pseudomonadaceae","Pseudomonas","Bacteria","ASV48_Pseudomonas","Pseudomonadales","Proteobacteria","0.00128114202266858","Q4","0.128114202266858","false","ASV48_Pseudomonas","ASV48"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV15_Mesorhizobium","Rhizobiales","Proteobacteria","0.00222207151826115","Q4","0.222207151826115","false","ASV15_Mesorhizobium","ASV15"
"Alphaproteobacteria","3","Rhizobiaceae","ANPR","Bacteria","ASV139_ANPR","Rhizobiales","Proteobacteria","8.40218963976462E-5","Q3","0.00840218963976462","false","ASV139_ANPR","ASV139"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV106_Mesorhizobium","Rhizobiales","Proteobacteria","1.40387304617879E-4","Q3","0.0140387304617879","false","ASV106_Mesorhizobium","ASV106"
"Alphaproteobacteria",,"Rhizobiaceae","Mesorhizobium","Bacteria","ASV274_Mesorhizobium","Rhizobiales","Proteobacteria","3.15210233353778E-5","Q2","0.00315210233353778","false","ASV274_Mesorhizobium","ASV274"
