"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"0.3607","Weak","Positive","Positive_Weak","interacts with","Pseudomonas","Mesorhizobium","ASV717_Pseudomonas (interacts with) ASV4_Mesorhizobium","Pseudomonas_Mesorhizobium","0.003","false","interacts with","ASV717_Pseudomonas (interacts with) ASV4_Mesorhizobium","ASV717","ASV4"
"0.3617","Weak","Positive","Positive_Weak","interacts with","Pseudomonas","Mesorhizobium","ASV717_Pseudomonas (interacts with) ASV47_Mesorhizobium","Pseudomonas_Mesorhizobium","0.003","false","interacts with","ASV717_Pseudomonas (interacts with) ASV47_Mesorhizobium","ASV717","ASV47"
"0.4345","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Pseudomonas","ASV717_Pseudomonas (interacts with) ASV48_Pseudomonas","Pseudomonas_Pseudomonas","0.001","false","interacts with","ASV717_Pseudomonas (interacts with) ASV48_Pseudomonas","ASV717","ASV48"
"-0.3426","Weak","Negative","Negative_Weak","interacts with","Pseudomonas","ANPR","ASV717_Pseudomonas (interacts with) ASV49_ANPR","Pseudomonas_ANPR","0.007","false","interacts with","ASV717_Pseudomonas (interacts with) ASV49_ANPR","ASV717","ASV49"
"0.4361","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Pseudomonas","ASV717_Pseudomonas (interacts with) ASV57_Pseudomonas","Pseudomonas_Pseudomonas","0.002","false","interacts with","ASV717_Pseudomonas (interacts with) ASV57_Pseudomonas","ASV717","ASV57"
"-0.4259","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","ANPR","ASV717_Pseudomonas (interacts with) ASV61_ANPR","Pseudomonas_ANPR","0.001","false","interacts with","ASV717_Pseudomonas (interacts with) ASV61_ANPR","ASV717","ASV61"
"0.3337","Weak","Positive","Positive_Weak","interacts with","Pseudomonas","Mesorhizobium","ASV717_Pseudomonas (interacts with) ASV6_Mesorhizobium","Pseudomonas_Mesorhizobium","0.001","false","interacts with","ASV717_Pseudomonas (interacts with) ASV6_Mesorhizobium","ASV717","ASV6"
"-0.4074","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV717_Pseudomonas (interacts with) ASV68_Mesorhizobium","Pseudomonas_Mesorhizobium","0.004","false","interacts with","ASV717_Pseudomonas (interacts with) ASV68_Mesorhizobium","ASV717","ASV68"
"-0.3871","Weak","Negative","Negative_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV67_Mesorhizobium (interacts with) ASV48_Pseudomonas","Mesorhizobium_Pseudomonas","0.004","false","interacts with","ASV67_Mesorhizobium (interacts with) ASV48_Pseudomonas","ASV67","ASV48"
"-0.3714","Weak","Negative","Negative_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV67_Mesorhizobium (interacts with) ASV57_Pseudomonas","Mesorhizobium_Pseudomonas","0.007","false","interacts with","ASV67_Mesorhizobium (interacts with) ASV57_Pseudomonas","ASV67","ASV57"
