,H2S2,CV,ASV
ASV157_unknown,4.515104222889348e-05,1,ASV157_unknown
ASV503_unknown,1.84361249723458e-05,1,ASV503_unknown
ASV24_Mesorhizobium,1.22907499815639e-05,1,ASV24_Mesorhizobium
ASV756_Mesorhizobium,9.50678784652242e-06,1,ASV756_Mesorhizobium
ASV10_Mesorhizobium,4.75339392326121e-06,1,ASV10_Mesorhizobium
ASV7_Mesorhizobium,3.3074903163570287e-06,1,ASV7_Mesorhizobium
ASV6_Mesorhizobium,3.752502441660015e-07,1,ASV6_Mesorhizobium
ASV43_unknown,0.0,1,ASV43_unknown
ASV45_Mesorhizobium,0.0,1,ASV45_Mesorhizobium
ASV435_Mesorhizobium,0.0,1,ASV435_Mesorhizobium
ASV427_ANPR,0.0,1,ASV427_ANPR
ASV44_Mesorhizobium,0.0,1,ASV44_Mesorhizobium
ASV474_Mesorhizobium,0.0,1,ASV474_Mesorhizobium
ASV336_Mesorhizobium,0.0,1,ASV336_Mesorhizobium
ASV727_Mesorhizobium,0.0,1,ASV727_Mesorhizobium
ASV504_Mesorhizobium,0.0,1,ASV504_Mesorhizobium
ASV56_ANPR,0.0,1,ASV56_ANPR
ASV98_unknown,0.0,1,ASV98_unknown
ASV974_Mesorhizobium,0.0,1,ASV974_Mesorhizobium
ASV93_ANPR,0.0,1,ASV93_ANPR
ASV91_Mesorhizobium,0.0,1,ASV91_Mesorhizobium
ASV896_unknown,0.0,1,ASV896_unknown
ASV879_Mesorhizobium,0.0,1,ASV879_Mesorhizobium
ASV85_Mesorhizobium,0.0,1,ASV85_Mesorhizobium
ASV832_unknown,0.0,1,ASV832_unknown
ASV79_Mesorhizobium,0.0,1,ASV79_Mesorhizobium
ASV728_unknown,0.0,1,ASV728_unknown
ASV401_Caulobacter,0.0,1,ASV401_Caulobacter
ASV697_Mesorhizobium,0.0,1,ASV697_Mesorhizobium
ASV637_ANPR,0.0,1,ASV637_ANPR
ASV632_unknown,0.0,1,ASV632_unknown
ASV58_ANPR,0.0,1,ASV58_ANPR
ASV403_ANPR,0.0,1,ASV403_ANPR
ASV984_Aminobacter,0.0,1,ASV984_Aminobacter
ASV217_Mesorhizobium,0.0,1,ASV217_Mesorhizobium
ASV311_ANPR,0.0,1,ASV311_ANPR
ASV135_unknown,0.0,1,ASV135_unknown
ASV188_Mesorhizobium,0.0,1,ASV188_Mesorhizobium
ASV295_Mesorhizobium,0.0,1,ASV295_Mesorhizobium
ASV29_Mesorhizobium,0.0,1,ASV29_Mesorhizobium
ASV1396_unknown,0.0,1,ASV1396_unknown
ASV141_Pseudomonas,0.0,1,ASV141_Pseudomonas
ASV144_ANPR,0.0,1,ASV144_ANPR
